route,days,direction,stops,trips
bse,f,bowiuniv,"[{'name': 'The Enclave', 'stop_id': 'enclave'}]","[[{'stop_id': 'enclave', 'arrival_time': '07:10:00', 'arrival_time_secs': '25800000'}], [{'stop_id': 'enclave', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}], [{'stop_id': 'enclave', 'arrival_time': '11:30:00', 'arrival_time_secs': '41400000'}], [{'stop_id': 'enclave', 'arrival_time': '14:30:00', 'arrival_time_secs': '52200000'}], [{'stop_id': 'enclave', 'arrival_time': '16:25:00', 'arrival_time_secs': '59100000'}], [{'stop_id': 'enclave', 'arrival_time': '19:30:00', 'arrival_time_secs': '70200000'}], [{'stop_id': 'enclave', 'arrival_time': '21:45:00', 'arrival_time_secs': '78300000'}]]"
bse,f,enclave,"[{'name': 'Bowie State University', 'stop_id': 'bowiuniv'}, {'name': 'The Enclave (hidden arrival)', 'stop_id': 'enclave_a'}]","[[{'stop_id': 'bowiuniv', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}, {'stop_id': 'enclave_a', 'arrival_time': '08:15:00', 'arrival_time_secs': '29700000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '09:00:00', 'arrival_time_secs': '32400000'}, {'stop_id': 'enclave_a', 'arrival_time': '09:30:00', 'arrival_time_secs': '34200000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '12:05:00', 'arrival_time_secs': '43500000'}, {'stop_id': 'enclave_a', 'arrival_time': '12:30:00', 'arrival_time_secs': '45000000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '15:05:00', 'arrival_time_secs': '54300000'}, {'stop_id': 'enclave_a', 'arrival_time': '15:35:00', 'arrival_time_secs': '56100000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '17:05:00', 'arrival_time_secs': '61500000'}, {'stop_id': 'enclave_a', 'arrival_time': '17:40:00', 'arrival_time_secs': '63600000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '20:05:00', 'arrival_time_secs': '72300000'}, {'stop_id': 'enclave_a', 'arrival_time': '20:30:00', 'arrival_time_secs': '73800000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '22:15:00', 'arrival_time_secs': '80100000'}, {'stop_id': 'enclave_a', 'arrival_time': '22:40:00', 'arrival_time_secs': '81600000'}]]"
bse,mtw,bowiuniv,"[{'name': 'The Enclave', 'stop_id': 'enclave'}]","[[{'stop_id': 'enclave', 'arrival_time': '07:10:00', 'arrival_time_secs': '25800000'}], [{'stop_id': 'enclave', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}], [{'stop_id': 'enclave', 'arrival_time': '11:30:00', 'arrival_time_secs': '41400000'}], [{'stop_id': 'enclave', 'arrival_time': '14:30:00', 'arrival_time_secs': '52200000'}], [{'stop_id': 'enclave', 'arrival_time': '16:25:00', 'arrival_time_secs': '59100000'}], [{'stop_id': 'enclave', 'arrival_time': '19:30:00', 'arrival_time_secs': '70200000'}], [{'stop_id': 'enclave', 'arrival_time': '21:45:00', 'arrival_time_secs': '78300000'}]]"
bse,mtw,enclave,"[{'name': 'Bowie State University', 'stop_id': 'bowiuniv'}, {'name': 'The Enclave (hidden arrival)', 'stop_id': 'enclave_a'}]","[[{'stop_id': 'bowiuniv', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}, {'stop_id': 'enclave_a', 'arrival_time': '08:15:00', 'arrival_time_secs': '29700000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '09:00:00', 'arrival_time_secs': '32400000'}, {'stop_id': 'enclave_a', 'arrival_time': '09:30:00', 'arrival_time_secs': '34200000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '12:05:00', 'arrival_time_secs': '43500000'}, {'stop_id': 'enclave_a', 'arrival_time': '12:30:00', 'arrival_time_secs': '45000000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '15:05:00', 'arrival_time_secs': '54300000'}, {'stop_id': 'enclave_a', 'arrival_time': '15:35:00', 'arrival_time_secs': '56100000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '17:05:00', 'arrival_time_secs': '61500000'}, {'stop_id': 'enclave_a', 'arrival_time': '17:40:00', 'arrival_time_secs': '63600000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '20:05:00', 'arrival_time_secs': '72300000'}, {'stop_id': 'enclave_a', 'arrival_time': '20:30:00', 'arrival_time_secs': '73800000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '22:15:00', 'arrival_time_secs': '80100000'}, {'stop_id': 'enclave_a', 'arrival_time': '22:40:00', 'arrival_time_secs': '81600000'}]]"
bse,sat,bowiuniv,"[{'name': 'The Enclave', 'stop_id': 'enclave'}]","[[{'stop_id': 'enclave', 'arrival_time': '08:15:00', 'arrival_time_secs': '29700000'}], [{'stop_id': 'enclave', 'arrival_time': '11:25:00', 'arrival_time_secs': '41100000'}], [{'stop_id': 'enclave', 'arrival_time': '12:25:00', 'arrival_time_secs': '44700000'}], [{'stop_id': 'enclave', 'arrival_time': '16:25:00', 'arrival_time_secs': '59100000'}], [{'stop_id': 'enclave', 'arrival_time': '17:30:00', 'arrival_time_secs': '63000000'}]]"
bse,sat,enclave,"[{'name': 'Bowie State University', 'stop_id': 'bowiuniv'}, {'name': 'The Enclave (hidden arrival)', 'stop_id': 'enclave_a'}]","[[{'stop_id': 'bowiuniv', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}, {'stop_id': 'enclave_a', 'arrival_time': '09:10:00', 'arrival_time_secs': '33000000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '12:00:00', 'arrival_time_secs': '43200000'}, {'stop_id': 'enclave_a', 'arrival_time': '12:25:00', 'arrival_time_secs': '44700000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '13:00:00', 'arrival_time_secs': '46800000'}, {'stop_id': 'enclave_a', 'arrival_time': '13:30:00', 'arrival_time_secs': '48600000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '17:00:00', 'arrival_time_secs': '61200000'}, {'stop_id': 'enclave_a', 'arrival_time': '17:30:00', 'arrival_time_secs': '63000000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'enclave_a', 'arrival_time': '18:35:00', 'arrival_time_secs': '66900000'}]]"
bse,sun,bowiuniv,"[{'name': 'The Enclave', 'stop_id': 'enclave'}]","[[{'stop_id': 'enclave', 'arrival_time': '08:15:00', 'arrival_time_secs': '29700000'}], [{'stop_id': 'enclave', 'arrival_time': '11:25:00', 'arrival_time_secs': '41100000'}], [{'stop_id': 'enclave', 'arrival_time': '12:25:00', 'arrival_time_secs': '44700000'}], [{'stop_id': 'enclave', 'arrival_time': '16:25:00', 'arrival_time_secs': '59100000'}], [{'stop_id': 'enclave', 'arrival_time': '17:30:00', 'arrival_time_secs': '63000000'}]]"
bse,sun,enclave,"[{'name': 'Bowie State University', 'stop_id': 'bowiuniv'}, {'name': 'The Enclave (hidden arrival)', 'stop_id': 'enclave_a'}]","[[{'stop_id': 'bowiuniv', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}, {'stop_id': 'enclave_a', 'arrival_time': '09:10:00', 'arrival_time_secs': '33000000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '12:00:00', 'arrival_time_secs': '43200000'}, {'stop_id': 'enclave_a', 'arrival_time': '12:25:00', 'arrival_time_secs': '44700000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '13:00:00', 'arrival_time_secs': '46800000'}, {'stop_id': 'enclave_a', 'arrival_time': '13:30:00', 'arrival_time_secs': '48600000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '17:00:00', 'arrival_time_secs': '61200000'}, {'stop_id': 'enclave_a', 'arrival_time': '17:30:00', 'arrival_time_secs': '63000000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'enclave_a', 'arrival_time': '18:35:00', 'arrival_time_secs': '66900000'}]]"
bse,th,bowiuniv,"[{'name': 'The Enclave', 'stop_id': 'enclave'}]","[[{'stop_id': 'enclave', 'arrival_time': '07:10:00', 'arrival_time_secs': '25800000'}], [{'stop_id': 'enclave', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}], [{'stop_id': 'enclave', 'arrival_time': '11:30:00', 'arrival_time_secs': '41400000'}], [{'stop_id': 'enclave', 'arrival_time': '14:30:00', 'arrival_time_secs': '52200000'}], [{'stop_id': 'enclave', 'arrival_time': '16:25:00', 'arrival_time_secs': '59100000'}], [{'stop_id': 'enclave', 'arrival_time': '19:30:00', 'arrival_time_secs': '70200000'}], [{'stop_id': 'enclave', 'arrival_time': '21:45:00', 'arrival_time_secs': '78300000'}]]"
bse,th,enclave,"[{'name': 'Bowie State University', 'stop_id': 'bowiuniv'}, {'name': 'The Enclave (hidden arrival)', 'stop_id': 'enclave_a'}]","[[{'stop_id': 'bowiuniv', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}, {'stop_id': 'enclave_a', 'arrival_time': '08:15:00', 'arrival_time_secs': '29700000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '09:00:00', 'arrival_time_secs': '32400000'}, {'stop_id': 'enclave_a', 'arrival_time': '09:30:00', 'arrival_time_secs': '34200000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '12:05:00', 'arrival_time_secs': '43500000'}, {'stop_id': 'enclave_a', 'arrival_time': '12:30:00', 'arrival_time_secs': '45000000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '15:05:00', 'arrival_time_secs': '54300000'}, {'stop_id': 'enclave_a', 'arrival_time': '15:35:00', 'arrival_time_secs': '56100000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '17:05:00', 'arrival_time_secs': '61500000'}, {'stop_id': 'enclave_a', 'arrival_time': '17:40:00', 'arrival_time_secs': '63600000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '20:05:00', 'arrival_time_secs': '72300000'}, {'stop_id': 'enclave_a', 'arrival_time': '20:30:00', 'arrival_time_secs': '73800000'}], [{'stop_id': 'bowiuniv', 'arrival_time': '22:15:00', 'arrival_time_secs': '80100000'}, {'stop_id': 'enclave_a', 'arrival_time': '22:40:00', 'arrival_time_secs': '81600000'}]]"
